Continent,Contry,City
AF,NG,Niger
AF,SH,St. Helena
AF,KM,Grande Comore
AF,KE,Uasin Gishu
AF,SD,Red Sea
AF,SD,Blue Nile
AF,SD,Al Jazīrah
AF,KE,Nyamira
AF,KE,Lamu
AF,KE,Busia
AF,KE,Nandi
AF,KE,Nakuru
AF,KE,Makueni
AF,KE,Isiolo
AF,KE,Samburu
AF,KE,Kitui
AF,KE,Garissa
AF,KE,Baringo
AF,KE,Kisumu
AF,KE,Marsabit
AF,KE,Nairobi Area
AF,KE,Turkana
AF,KE,Tharaka - Nithi
AF,KE,Nyandarua
AF,KE,Taita Taveta
AF,KE,Bungoma
AF,KE,Kericho
AF,KE,Kisii
AF,KE,Kirinyaga
AF,KE,Laikipia
AF,KE,Machakos
AF,KE,Elegeyo-Marakwet
AF,KE,Nyeri
AF,KE,Embu
AF,KE,Tana River
AF,KE,Mombasa
AF,ZW,Matabeleland South
AF,ZW,Midlands
AF,ZW,Mashonaland East
AF,ZW,Mashonaland Central
AF,ZW,Masvingo
AF,ZW,Matabeleland North
AF,ZW,Manicaland
AF,ZW,Bulawayo
AF,SD,Khartoum
AF,SD,Central Darfur
AF,SD,Sinnār
AF,SD,Kassala
AF,SD,Southern Kordofan
AF,SD,Southern Darfur
AF,SD,River Nile
AF,SD,Northern Darfur
AF,SD,Al Qaḑārif
AF,SD,Northern
AF,SD,White Nile
AF,KE,Siaya
AF,KE,Meru
AF,KE,Vihiga
AF,KE,Kakamega
AF,KE,Kajiado
AF,KE,Kilifi
AF,KE,Murang'A
AF,KE,Kiambu
AF,KE,Migori
AF,KE,Trans Nzoia
AF,KE,Narok
AF,AO,Bengo
AF,AO,Namibe
AF,AO,Cuando Cobango
AF,AO,Huíla
AF,AO,Luanda
AF,AO,Huambo
AF,AO,Zaire
AF,AO,Malanje
AF,AO,Uíge
AF,AO,Cabinda
AF,NG,FCT
AF,ZW,Harare
AF,ZW,Mashonaland West
AF,ZM,North-Western
AF,ZM,Southern
AF,ZM,Lusaka
AF,ZM,Central
AF,ZM,Luapula
AF,ZM,Copperbelt
AF,ZA,Eastern Cape
AF,ZA,Limpopo
AF,ZA,Orange Free State
AF,ZA,Gauteng
AF,ZA,KwaZulu-Natal
AF,ZA,Northern Cape
AF,ZA,Mpumalanga
AF,ZA,Western Cape
AF,ZA,North-West
AF,YT,Mamoudzou
AF,KE,Kwale
AF,KE,Homa Bay
AF,KE,Bomet
AF,LY,Sabhā
AF,LR,Bomi
AF,LR,Montserrado
AF,LS,Maseru
AF,SD,Western Darfur
AF,SD,North Kordofan
AF,SD,Eastern Darfur
AF,SD,West Kordofan
AF,SC,Anse Boileau
AF,SC,Beau Vallon
AF,SC,La Digue
AF,SC,Grand Anse Mahe
AF,SC,English River
AF,LS,Leribe
AF,LS,Mokhotlong
AF,LY,Az Zāwiyah
AF,LY,Surt
AF,LY,Murzuq
AF,LY,An Nuqāţ al Khams
AF,LY,Al Buţnān
AF,LY,Jabal al Gharbi
AF,LY,Darnah
AF,LY,Al Jabal al Akhḑar
AF,SC,Cascade
AF,SC,Bel Ombre
AF,LY,Al Jufrah
AF,LY,Al Marj
AF,LY,Mişrātah
AF,LY,Al Marqab
AF,LY,Banghāzī
AF,LY,Al Wāḩāt
AF,LY,Wādī al Ḩayāt
AF,LY,Tripoli
AF,MA,Tanger-Tetouan-Al Hoceima
AF,MA,Souss-Massa
AF,MA,Guelmim-Oued Noun
AF,MA,Laâyoune-Sakia El Hamra
AF,MA,
AF,MA,Oriental
AF,MA,Fès-Meknès
AF,MA,Marrakesh-Safi
AF,MA,Drâa-Tafilalet
AF,MA,Casablanca-Settat
AF,MA,Rabat-Salé-Kénitra
AF,MA,Dakhla-Oued Ed-Dahab
AF,MA,Béni Mellal-Khénifra
AF,MG,Atsinanana
AF,MG,Vatovavy Fitovinany
AF,MG,Vakinankaratra
AF,MG,Amoron'i Mania
AF,MG,Analanjirofo
AF,MG,Boeny
AF,MG,Diana
AF,MG,Sava
AF,MG,Bongolava
AF,MG,Upper Matsiatra
AF,MG,Betsiboka
AF,MG,Analamanga
AF,ML,Tombouctou
AF,ML,Mopti
AF,ML,Koulikoro
AF,ML,Ménaka
AF,ML,Bamako
AF,ML,Kayes
AF,TN,Al Qaşrayn
AF,TN,Manouba
AF,TN,Zaghwān
AF,GW,Bissau
AF,TN,Madanīn
AF,TN,Kairouan
AF,TN,Jundūbah
AF,TN,Kef
AF,TN,Sīdī Bū Zayd
AF,TN,Nābul
AF,CD,Lualaba
AF,TN,Sūsah
AF,TN,Al Munastīr
AF,TN,Silyānah
AF,TN,Al Mahdīyah
AF,TN,Ariana
AF,TN,Bājah
AF,TN,Şafāqis
AF,TN,Qābis
AF,TN,Tūnis
AF,TN,Banzart
AF,BF,Centre-Nord
AF,BF,Hauts-Bassins
AF,BF,Centre
AF,BF,Nord
AF,BF,Centre-Ouest
AF,BF,Centre-Sud
AF,BF,Boucle du Mouhoun
AF,BF,Plateau-Central
AF,BF,Est
AF,BF,Sahel
AF,BF,Sud-Ouest
AF,BF,Cascades
AF,BF,Centre-Est
AF,TN,Tawzar
AF,TN,Bin ‘Arūs
AF,TN,Gafsa
AF,TN,Qibilī
AF,TN,Tataouine
AF,RW,Kigali
AF,RW,Southern Province
AF,RW,Western Province
AF,RW,Northern Province
AF,RE,Réunion
AF,NG,Plateau
AF,MR,Nouakchott Ouest
AF,GQ,Bioko Norte
AF,GQ,Kié-Ntem
AF,GN,Conakry
AF,GN,Nzerekore
AF,GN,Kindia
AF,GN,Mamou
AF,GN,Kankan
AF,GM,Western
AF,GM,Banjul
AF,MR,Nouakchott Sud
AF,GH,Greater Accra
AF,GH,Bono
AF,GH,Volta
AF,GH,Central
AF,GH,Western
AF,GH,Northern
AF,GH,Eastern
AF,GH,Ashanti
AF,GH,Upper East
AF,MR,Inchiri
AF,BI,Bujumbura Mairie
AF,BI,Gitega
AF,BJ,Borgou
AF,BJ,Mono
AF,BJ,Zou
AF,BJ,Atlantique
AF,BJ,Ouémé
AF,BJ,Littoral
AF,MR,Nouakchott Nord
AF,MR,
AF,MR,Trarza
AF,MR,Dakhlet-Nouadhibou
AF,MU,Plaines Wilhems
AF,MU,Flacq
AF,MU,Moka
AF,MU,Grand Port
AF,MU,Rivière du Rempart
AF,MU,Savanne
AF,MU,Pamplemousses
AF,GA,Ogooué-Maritime
AF,GA,Haut-Ogooué
AF,GA,Estuaire
AF,MU,Black River
AF,MU,Port Louis
AF,MU,Rodrigues
AF,MW,Southern Region
AF,MW,Central Region
AF,TG,Kara
AF,TG,Maritime
AF,TG,Savanes
AF,TG,Plateaux
AF,TG,Centrale
AF,TD,N'Djamena
AF,ET,Amhara
AF,ET,Tigray
AF,ET,Somali
AF,ET,Āfar
AF,ET,SNNPR
AF,ET,Addis Ababa
AF,ET,Bīnshangul Gumuz
AF,ET,Harari
AF,ET,Oromiya
AF,MZ,Sofala
AF,MZ,Gaza
AF,MZ,Zambézia
AF,MZ,Maputo Province
AF,MZ,Inhambane
AF,MZ,Nampula
AF,MZ,Tete
AF,MZ,Cabo Delgado
AF,MZ,Maputo
AF,ER,Maekel
AF,EG,Dakahlia
AF,EG,Aswan
AF,EG,Sharqia
AF,EG,Matruh
AF,EG,Giza
AF,EG,Cairo
AF,EG,Luxor
AF,EG,Asyut
AF,EG,Qalyubia
AF,EG,Al Sharqia Governorate
AF,EG,North Sinai
AF,EG,New Valley
AF,EG,Gharbia
AF,BW,Lobatse
AF,BW,North-West
AF,BW,Kgalagadi
AF,BW,City of Francistown
AF,BW,
AF,BW,Ngwaketsi
AF,BW,Gaborone
AF,BW,South-East
AF,BW,Ghanzi
AF,BW,Central
AF,BW,Kweneng
AF,BW,Chobe
AF,BW,Kgatleng
AF,EG,Ismailia
AF,EG,Port Said
AF,EG,Minya
AF,EG,Monufia
AF,EG,Faiyum
AF,EG,Kafr el-Sheikh
AF,EG,Qena
AF,EG,South Sinai
AF,EG,Red Sea
AF,EG,Suez
AF,EG,Sohag
AF,EG,Alexandria
AF,EG,Beni Suweif
AF,EG,Damietta
AF,EG,Beheira
AF,MZ,Manica
AF,MZ,Maputo City
AF,NA,Oshana
AF,NA,Oshikoto
AF,NA,Ohangwena
AF,NA,Kunene
AF,NA,Khomas
AF,NA,Hardap
AF,NA,Erongo
AF,NA,Zambezi
AF,NA,Kavango East
AF,NA,Omaheke
AF,CD,Kasai-Central
AF,CD,Haut-Uele
AF,CD,Sankuru
AF,CD,Sud-Kivu
AF,CD,Maniema
AF,CD,Nord-Kivu
AF,CD,Mai-Ndombe
AF,CD,Kasai-Oriental
AF,CD,Kinshasa
AF,CD,Tshopo
AF,CD,Haut-Katanga
AF,NA,Otjozondjupa
AF,CF,Bangui
AF,CG,Pointe-Noire
AF,CG,Pool
AF,CG,Brazzaville
AF,NA,Kavango West
AF,NA,Karas
AF,DZ,Guelma
AF,DZ,Boumerdes
AF,DZ,Jijel
AF,DZ,El Oued
AF,DZ,Ain Defla
AF,DZ,Ain Temouchent
AF,SL,Eastern Province
AF,SL,Southern Province
AF,SL,Western Area
AF,SL,Northern Province
AF,SN,Kolda
AF,SN,Saint-Louis
AF,SN,Matam
AF,SN,Diourbel
AF,SN,Thiès
AF,SN,Kédougou
AF,SN,Dakar
AF,SN,Tambacounda
AF,SN,Louga
AF,SN,Kaolack
AF,SN,Ziguinchor
AF,DZ,Biskra
AF,DZ,Naama
AF,DZ,El Mghair
AF,CI,Montagnes
AF,CI,Denguélé
AF,CI,Lacs
AF,CI,Bas-Sassandra
AF,CI,Woroba
AF,CI,Lagunes
AF,CI,Vallée du Bandama
AF,CI,Gôh-Djiboua
AF,CI,Sassandra-Marahoué
AF,CI,Zanzan
AF,CI,Yamoussoukro
AF,CI,Comoé
AF,CI,Savanes
AF,CI,Abidjan
AF,DZ,Ouargla
AF,DZ,Ghardaia
AF,DZ,Relizane
AF,DZ,Chlef
AF,DZ,Illizi
AF,DZ,Tebessa
AF,DZ,El Tarf
AF,DZ,Ouled Djellal
AF,DZ,El Bayadh
AF,DZ,Laghouat
AF,DZ,Oum el Bouaghi
AF,UG,Eastern Region
AF,UG,Central Region
AF,UG,Northern Region
AF,UG,Western Region
AF,DZ,In Salah
AF,DZ,Msila
AF,DZ,Sétif
AF,DZ,Mostaganem
AF,CM,North-West
AF,CM,West
AF,CM,Adamaoua
AF,CM,Centre
AF,CM,South-West
AF,CM,North
AF,CM,Littoral
AF,CM,Far North
AF,DZ,Touggourt
AF,DZ,Tamanrasset
AF,DZ,Saida
AF,DZ,Blida
AF,DZ,Medea
AF,DZ,Annaba
AF,DZ,Tiaret
AF,DZ,Mascara
AF,DZ,Constantine
AF,DZ,Bejaia
AF,DZ,Tlemcen
AF,DZ,Tizi Ouzou
AF,DZ,Djelfa
AF,DZ,Bechar
AF,DZ,Bordj Bou Arreridj
AF,DZ,Tissemsilt
AF,DZ,Tipaza
AF,DZ,Skikda
AF,DZ,Mila
AF,DZ,Khenchela
AF,DZ,Algiers
AF,DZ,Batna
AF,DZ,Setif
AF,DZ,Souk Ahras
AF,DZ,Oran
AF,DZ,Adrar
AF,DZ,Sidi Bel Abbes
AF,DZ,Tindouf
AF,DZ,Tébessa
AF,DZ,Bouira
AF,SZ,Hhohho
AF,SZ,Manzini
AF,NE,Niamey
AF,NE,Maradi
AF,SO,Awdal
AF,SO,Lower Shabeelle
AF,SO,Banaadir
AF,SO,Mudug
AF,SO,Bari
AF,SO,Nugaal
AF,SO,Sool
AF,SO,Togdheer
AF,SO,Woqooyi Galbeed
AF,SS,Unity
AF,SS,Juba
AF,SS,Central Equatoria
AF,SS,Western Equatoria
AF,ST,São Tomé Island
AF,NE,Agadez
AF,DJ,Djibouti
AF,SZ,Lubombo
AF,NG,Oyo
AF,NG,Kano
AF,NG,Sokoto
AF,NG,Katsina
AF,NG,Cross River
AF,NG,Bayelsa
AF,NG,Adamawa
AF,NG,Yobe
AF,NG,Delta
AF,NG,Borno
AF,NG,Osun
AF,NG,Kwara
AF,NG,Nassarawa
AF,NG,Bauchi
AF,NG,Lagos
AF,NG,Ebonyi
